,insee,nom,bureau,bv_reconciliation
17177,57227,Forbach,57227_9,9
17178,57240,Freyming-Merlebach,57240_1,1
17179,57289,Hambach,57289_2,2
17180,57289,Hambach,57289_3,3
17181,57306,Hayange,57306_10,10
17182,57306,Hayange,57306_11,11
17183,57306,Hayange,57306_12,12
17184,57306,Hayange,57306_13,13
17185,57306,Hayange,57306_14,14
17186,57287,Basse-Ham,57287_1,1
17187,57287,Basse-Ham,57287_2,2
17188,57288,Ham-sous-Varsberg,57288_1,1
17189,57288,Ham-sous-Varsberg,57288_2,2
17190,57289,Hambach,57289_1,1
17191,57323,Hettange-Grande,57323_2,2
17192,57323,Hettange-Grande,57323_3,3
17193,57323,Hettange-Grande,57323_4,4
17194,57323,Hettange-Grande,57323_5,5
17195,57323,Hettange-Grande,57323_6,6
17196,57323,Hettange-Grande,57323_7,7
17197,57323,Hettange-Grande,57323_8,8
17198,57323,Hettange-Grande,57323_9,9
17199,57332,Hombourg-Haut,57332_1,1
17200,57332,Hombourg-Haut,57332_2,2
17201,57332,Hombourg-Haut,57332_3,3
17202,57332,Hombourg-Haut,57332_4,4
17203,57260,Grosbliederstroff,57260_2,2
17204,57332,Hombourg-Haut,57332_5,5
17205,57336,L'Hôpital,57336_1,1
17206,57336,L'Hôpital,57336_2,2
17207,57336,L'Hôpital,57336_3,3
17208,57336,L'Hôpital,57336_4,4
17209,57337,Hoste,57337_1,1
17210,57337,Hoste,57337_2,2
17211,57340,Hundling,57340_1,1
17212,57340,Hundling,57340_2,2
17213,57343,Illange,57343_1,1
17214,57343,Illange,57343_2,2
17215,57361,Kerling-lès-Sierck,57361_1,1
17216,57361,Kerling-lès-Sierck,57361_2,2
17217,57368,Knutange,57368_2,2
17218,57368,Knutange,57368_3,3
17219,57368,Knutange,57368_4,4
17220,57370,Kœnigsmacker,57370_1,1
17221,57306,Hayange,57306_15,15
17222,57306,Hayange,57306_16,16
17223,57306,Hayange,57306_2,2
17224,57306,Hayange,57306_3,3
17225,57306,Hayange,57306_5,5
17226,57306,Hayange,57306_6,6
17227,57306,Hayange,57306_7,7
17228,57306,Hayange,57306_8,8
17229,57306,Hayange,57306_9,9
17230,57323,Hettange-Grande,57323_1,1
17231,57412,Longeville-lès-Metz,57412_3,3
17232,57412,Longeville-lès-Metz,57412_4,4
17233,57261,Gros-Réderching,57261_1,1
17234,57413,Longeville-lès-Saint-Avold,57413_1,1
17235,57413,Longeville-lès-Saint-Avold,57413_3,3
17236,57413,Longeville-lès-Saint-Avold,57413_4,4
17237,57413,Longeville-lès-Saint-Avold,57413_5,5
17238,57415,Lorry-lès-Metz,57415_1,1
17239,57370,Kœnigsmacker,57370_2,2
17240,57370,Kœnigsmacker,57370_3,3
17241,57412,Longeville-lès-Metz,57412_1,1
17242,57412,Longeville-lès-Metz,57412_2,2
17243,57433,Maizières-lès-Metz,57433_7,7
17244,57261,Gros-Réderching,57261_2,2
17245,57269,Guénange,57269_1,1
17246,57416,Lorry-Mardigny,57416_1,1
17247,57416,Lorry-Mardigny,57416_2,2
17248,57428,Macheren,57428_1,1
17249,57428,Macheren,57428_3,3
17250,57433,Maizières-lès-Metz,57433_1,1
17251,57433,Maizières-lès-Metz,57433_10,10
17252,57433,Maizières-lès-Metz,57433_8,8
17253,57433,Maizières-lès-Metz,57433_9,9
17254,57437,Malling,57437_1,1
17255,57437,Malling,57437_2,2
17256,57441,Manom,57441_1,1
17257,57441,Manom,57441_2,2
17258,57269,Guénange,57269_2,2
17259,57269,Guénange,57269_3,3
17260,57447,Marly,57447_4,4
17261,57447,Marly,57447_5,5
17262,57433,Maizières-lès-Metz,57433_2,2
17263,57433,Maizières-lès-Metz,57433_3,3
17264,57433,Maizières-lès-Metz,57433_4,4
17265,57433,Maizières-lès-Metz,57433_5,5
17266,57433,Maizières-lès-Metz,57433_6,6
17267,57447,Marly,57447_6,6
17268,57443,Marange-Silvange,57443_1,1
17269,57443,Marange-Silvange,57443_2,2
17270,57443,Marange-Silvange,57443_3,3
17271,57443,Marange-Silvange,57443_4,4
17272,57447,Marly,57447_8,8
17273,57463,Metz,57463_185,185
17274,57463,Metz,57463_186,186
17275,57463,Metz,57463_192,192
17276,57463,Metz,57463_196,196
17277,57463,Metz,57463_197,197
17278,57447,Marly,57447_9,9
17279,57463,Metz,57463_111,111
17280,57463,Metz,57463_121,121
17281,57443,Marange-Silvange,57443_5,5
17282,57443,Marange-Silvange,57443_6,6
17283,57443,Marange-Silvange,57443_7,7
17284,57445,Marieulles,57445_1,1
17285,57445,Marieulles,57445_2,
17286,57447,Marly,57447_1,1
17287,57463,Metz,57463_122,122
17288,57463,Metz,57463_132,132
17289,57447,Marly,57447_10,10
17290,57447,Marly,57447_3,3
17291,57463,Metz,57463_263,263
17292,57463,Metz,57463_272,272
17293,57463,Metz,57463_281,281
17294,57463,Metz,57463_282,282
17295,57463,Metz,57463_198,198
17296,57463,Metz,57463_211,211
17297,57463,Metz,57463_212,212
17298,57463,Metz,57463_221,221
17299,57463,Metz,57463_225,225
17300,57463,Metz,57463_226,226
17301,57463,Metz,57463_231,231
17302,57463,Metz,57463_141,141
17303,57463,Metz,57463_151,151
17304,57463,Metz,57463_152,152
17305,57463,Metz,57463_171,171
17306,57463,Metz,57463_172,172
17307,57463,Metz,57463_181,181
17308,57463,Metz,57463_241,241
17309,57463,Metz,57463_242,242
17310,57463,Metz,57463_251,251
17311,57463,Metz,57463_252,252
17312,57463,Metz,57463_261,261
17313,57463,Metz,57463_343,343
17314,57463,Metz,57463_351,351
17315,57463,Metz,57463_283,283
17316,57463,Metz,57463_291,291
17317,57463,Metz,57463_292,292
17318,57463,Metz,57463_293,293
17319,57463,Metz,57463_182,182
17320,57474,Mondelange,57474_3,3
17321,57474,Mondelange,57474_4,4
17322,57474,Mondelange,57474_5,5
17323,57463,Metz,57463_301,301
17324,57463,Metz,57463_302,302
17325,57463,Metz,57463_303,303
17326,57463,Metz,57463_321,321
17327,57463,Metz,57463_352,352
17328,57463,Metz,57463_353,353
17329,57463,Metz,57463_361,361
17330,57463,Metz,57463_362,362
17331,57463,Metz,57463_371,371
17332,57463,Metz,57463_372,372
17333,57480,Montigny-lès-Metz,57480_11,11
17334,57463,Metz,57463_373,373
17335,57463,Metz,57463_382,382
17336,57463,Metz,57463_383,383
17337,57463,Metz,57463_385,385
17338,57463,Metz,57463_391,391
17339,57463,Metz,57463_322,322
17340,57463,Metz,57463_323,323
17341,57463,Metz,57463_331,331
17342,57463,Metz,57463_332,332
17343,57463,Metz,57463_341,341
17344,57463,Metz,57463_342,342
17345,57481,Montois-la-Montagne,57481_1,1
17346,57481,Montois-la-Montagne,57481_2,2
17347,57482,Ogy-Montoy-Flanville,57482_1,1
17348,57482,Ogy-Montoy-Flanville,57482_2,2
17349,57463,Metz,57463_392,392
17350,57463,Metz,57463_395,395
17351,57465,Metzervisse,57465_1,1
17352,57465,Metzervisse,57465_2,2
17353,57480,Montigny-lès-Metz,57480_12,12
17354,57474,Mondelange,57474_2,2
17355,57498,Neufchef,57498_2,2
17356,57508,Nilvange,57508_1,1
17357,57508,Nilvange,57508_2,2
17358,57508,Nilvange,57508_4,4
17359,57483,Morhange,57483_1,1
17360,57480,Montigny-lès-Metz,57480_13,13
17361,57480,Montigny-lès-Metz,57480_21,21
17362,57483,Morhange,57483_2,2
17363,57514,Nousseviller-Saint-Nabor,57514_1,1
17364,57514,Nousseviller-Saint-Nabor,57514_2,2
17365,57521,Œting,57521_2,2
17366,57529,Ottange,57529_1,1
17367,57529,Ottange,57529_2,2
17368,57529,Ottange,57529_3,3
17369,57531,Oudrenne,57531_1,1
17370,57480,Montigny-lès-Metz,57480_22,22
17371,57480,Montigny-lès-Metz,57480_33,33
17372,57531,Oudrenne,57531_2,2
17373,57537,Petite-Rosselle,57537_1,1
17374,57537,Petite-Rosselle,57537_2,2
17375,57537,Petite-Rosselle,57537_3,3
17376,57537,Petite-Rosselle,57537_4,4
17377,57537,Petite-Rosselle,57537_5,5
17378,57537,Petite-Rosselle,57537_6,6
17379,57540,Phalsbourg,57540_2,2
17380,57540,Phalsbourg,57540_3,3
17381,57484,Morsbach,57484_1,1
17382,57484,Morsbach,57484_2,2
17383,57487,Moulins-lès-Metz,57487_2,2
17384,57487,Moulins-lès-Metz,57487_3,3
17385,57487,Moulins-lès-Metz,57487_4,4
17386,57491,Moyeuvre-Grande,57491_1,1
17387,57491,Moyeuvre-Grande,57491_2,2
17388,57491,Moyeuvre-Grande,57491_3,3
17389,57491,Moyeuvre-Grande,57491_4,4
17390,57491,Moyeuvre-Grande,57491_5,5
17391,57491,Moyeuvre-Grande,57491_6,6
17392,57491,Moyeuvre-Grande,57491_7,7
17393,57491,Moyeuvre-Grande,57491_8,8
17394,57498,Neufchef,57498_1,1
17395,57545,Plappeville,57545_1,1
17396,57545,Plappeville,57545_2,2
17397,57550,Porcelette,57550_1,1
17398,57550,Porcelette,57550_2,2
17399,57480,Montigny-lès-Metz,57480_34,34
17400,57556,Puttelange-aux-Lacs,57556_1,1
17401,57556,Puttelange-aux-Lacs,57556_2,2
17402,57556,Puttelange-aux-Lacs,57556_3,3
17403,57564,Réchicourt-le-Château,57564_1,1
17404,57564,Réchicourt-le-Château,57564_2,2
17405,57566,Réding,57566_4,4
17406,57480,Montigny-lès-Metz,57480_42,42
17407,57572,Rémilly,57572_1,1
17408,57572,Rémilly,57572_2,2
17409,57578,Rezonville-Vionville,57578_1,1
17410,57578,Rezonville-Vionville,57578_2,2
17411,57588,Rodemack,57588_1,1
17412,57588,Rodemack,57588_2,2
17413,57591,Rombas,57591_1,1
17414,57591,Rombas,57591_3,3
17415,57591,Rombas,57591_4,4
17416,57606,Saint-Avold,57606_2,2
17417,57606,Saint-Avold,57606_4,4
17418,57591,Rombas,57591_5,5
17419,57591,Rombas,57591_6,6
17420,57597,Rosselange,57597_1,1
17421,57597,Rosselange,57597_2,2
17422,57606,Saint-Avold,57606_5,5
17423,57606,Saint-Avold,57606_6,6
17424,57606,Saint-Avold,57606_7,7
17425,57606,Saint-Avold,57606_8,8
17426,57606,Saint-Avold,57606_9,9
17427,57616,Saint-Julien-lès-Metz,57616_1,1
17428,57480,Montigny-lès-Metz,57480_43,43
17429,57616,Saint-Julien-lès-Metz,57616_2,2
17430,57616,Saint-Julien-lès-Metz,57616_3,3
17431,57620,Sainte-Marie-aux-Chênes,57620_2,2
17432,57620,Sainte-Marie-aux-Chênes,57620_3,3
17433,57620,Sainte-Marie-aux-Chênes,57620_4,4
17434,57628,Sarralbe,57628_1,1
17435,57628,Sarralbe,57628_2,2
17436,57597,Rosselange,57597_3,3
17437,57600,Roussy-le-Village,57600_2,2
17438,57602,Rurange-lès-Thionville,57602_1,1
17439,57480,Montigny-lès-Metz,57480_44,44
17440,57602,Rurange-lès-Thionville,57602_2,2
17441,57602,Rurange-lès-Thionville,57602_3,3
17442,57606,Saint-Avold,57606_1,1
17443,57606,Saint-Avold,57606_10,10
17444,57606,Saint-Avold,57606_11,11
17445,57606,Saint-Avold,57606_12,12
17446,57606,Saint-Avold,57606_13,13
17447,57628,Sarralbe,57628_3,3
17448,57628,Sarralbe,57628_4,4
17449,57630,Sarrebourg,57630_1,1
17450,57630,Sarrebourg,57630_2,2
17451,57630,Sarrebourg,57630_3,3
17452,57480,Montigny-lès-Metz,57480_51,51
17453,57630,Sarrebourg,57630_4,4
17454,57630,Sarrebourg,57630_6,6
17455,57630,Sarrebourg,57630_7,7
17456,57630,Sarrebourg,57630_8,8
17457,57631,Sarreguemines,57631_10,10
17458,57631,Sarreguemines,57631_11,11
17459,57631,Sarreguemines,57631_12,12
17460,57631,Sarreguemines,57631_13,13
17461,57631,Sarreguemines,57631_14,14
17462,57631,Sarreguemines,57631_15,
17463,57606,Saint-Avold,57606_14,14
17464,57606,Saint-Avold,57606_15,15
17465,57606,Saint-Avold,57606_16,16
17466,57606,Saint-Avold,57606_18,18
17467,57631,Sarreguemines,57631_5,5
17468,57631,Sarreguemines,57631_6,6
17469,57631,Sarreguemines,57631_7,7
17470,57631,Sarreguemines,57631_8,8
17471,57631,Sarreguemines,57631_9,9
17472,57634,Saulny,57634_1,1
17473,57634,Saulny,57634_2,2
17474,57638,Schœneck,57638_1,1
17475,57638,Schœneck,57638_2,2
17476,57642,Scy-Chazelles,57642_1,1
17477,57642,Scy-Chazelles,57642_2,2
17478,57644,Seingbouse,57644_1,1
17479,57631,Sarreguemines,57631_16,
17480,57631,Sarreguemines,57631_2,2
17481,57631,Sarreguemines,57631_3,3
17482,57631,Sarreguemines,57631_4,4
17483,57480,Montigny-lès-Metz,57480_52,52
17484,57644,Seingbouse,57644_2,2
17485,57647,Serémange-Erzange,57647_1,1
17486,57647,Serémange-Erzange,57647_3,3
17487,57647,Serémange-Erzange,57647_4,4
17488,57650,Sierck-les-Bains,57650_1,1
17489,57650,Sierck-les-Bains,57650_2,2
17490,57651,Siersthal,57651_1,1
17491,57480,Montigny-lès-Metz,57480_53,53
17492,57651,Siersthal,57651_2,2
17493,57663,Talange,57663_6,6
17494,57663,Talange,57663_7,7
17495,57663,Talange,57663_8,8
17496,57659,Spicheren,57659_1,1
17497,57480,Montigny-lès-Metz,57480_54,54
17498,57663,Talange,57663_9,9
17499,57665,Tenteling,57665_1,1
17500,57665,Tenteling,57665_2,2
17501,57666,Terville,57666_1,1
17502,57666,Terville,57666_2,2
17503,57666,Terville,57666_3,3
17504,57480,Montigny-lès-Metz,57480_55,55
17505,57666,Terville,57666_4,4
17506,57666,Terville,57666_5,5
17507,57666,Terville,57666_6,6
17508,57666,Terville,57666_7,7
17509,57669,Théding,57669_1,1
17510,57480,Montigny-lès-Metz,57480_61,61
17511,57669,Théding,57669_2,2
17512,57669,Théding,57669_3,3
17513,57672,Thionville,57672_10,10
17514,57672,Thionville,57672_11,11
17515,57672,Thionville,57672_12,12
17516,57672,Thionville,57672_13,13
17517,57672,Thionville,57672_14,14
17518,57659,Spicheren,57659_2,2
17519,57480,Montigny-lès-Metz,57480_62,62
17520,57659,Spicheren,57659_3,3
17521,57660,Stiring-Wendel,57660_1,1
17522,57660,Stiring-Wendel,57660_2,2
17523,57660,Stiring-Wendel,57660_3,3
17524,57660,Stiring-Wendel,57660_4,4
17525,57672,Thionville,57672_5,5
17526,57672,Thionville,57672_15,15
17527,57672,Thionville,57672_18,18
17528,57672,Thionville,57672_20,20
17529,57672,Thionville,57672_21,21
17530,57672,Thionville,57672_22,22
17531,57672,Thionville,57672_23,23
17532,57672,Thionville,57672_6,6
17533,57672,Thionville,57672_8,8
17534,57672,Thionville,57672_24,24
17535,57672,Thionville,57672_25,25
17536,57672,Thionville,57672_26,26
17537,57672,Thionville,57672_27,27
17538,57672,Thionville,57672_28,28
17539,57672,Thionville,57672_29,29
17540,57672,Thionville,57672_3,3
17541,57672,Thionville,57672_9,9
17542,57678,Tressange,57678_1,1
17543,57672,Thionville,57672_4,4
17544,57714,Haute-Vigneulles,57714_2,2
17545,57724,Vitry-sur-Orne,57724_1,1
17546,57724,Vitry-sur-Orne,57724_2,2
17547,57724,Vitry-sur-Orne,57724_3,3
17548,57660,Stiring-Wendel,57660_5,5
17549,57660,Stiring-Wendel,57660_6,6
17550,57660,Stiring-Wendel,57660_7,7
17551,57660,Stiring-Wendel,57660_8,8
17552,57660,Stiring-Wendel,57660_9,9
17553,57683,Uckange,57683_1,1
17554,57683,Uckange,57683_2,2
17555,57683,Uckange,57683_3,3
17556,57663,Talange,57663_1,1
17557,57663,Talange,57663_10,10
17558,57663,Talange,57663_2,2
17559,57663,Talange,57663_3,3
17560,57663,Talange,57663_4,4
17561,57663,Talange,57663_5,5
17562,57757,Yutz,57757_1,1
17563,57757,Yutz,57757_10,10
17564,57731,Volmerange-les-Mines,57731_1,1
17565,57731,Volmerange-les-Mines,57731_2,2
17566,57733,Volstroff,57733_2,2
17567,57751,Woippy,57751_1,1
17568,57751,Woippy,57751_10,10
17569,57751,Woippy,57751_3,3
17570,57751,Woippy,57751_4,4
17571,57751,Woippy,57751_5,5
17572,57751,Woippy,57751_6,6
17573,57751,Woippy,57751_7,7
17574,57757,Yutz,57757_11,11
17575,57757,Yutz,57757_12,12
17576,57757,Yutz,57757_13,13
17577,57757,Yutz,57757_14,14
17578,57757,Yutz,57757_2,2
17579,57683,Uckange,57683_4,4
17580,57683,Uckange,57683_5,5
17581,57751,Woippy,57751_8,8
17582,57751,Woippy,57751_9,9
17583,57752,Woustviller,57752_1,1
17584,57752,Woustviller,57752_2,2
17585,57757,Yutz,57757_3,3
17586,57757,Yutz,57757_4,4
17587,57757,Yutz,57757_5,5
17588,57757,Yutz,57757_6,6
17589,57757,Yutz,57757_8,8
