,insee,nom,bureau,bv_reconciliation,bv_id
50014,71187,Écuisses,nan,1,71187_1
50021,71413,Saint-Firmin,nan,1,71413_1
50022,71409,Saint-Émiland,nan,1,71409_1
50023,71237,Igornay,nan,1,71237_1
50024,71438,Saint-Léger-du-Bois,nan,1,71438_1
50032,7101,Antully,nan,1,7101_1
50037,71477,Saint-Romain-sous-Gourdon,nan,1,71477_1
50061,71278,Marigny,nan,1,71278_1
50062,71231,La Guiche,nan,1,71231_1
50089,71322,Morlet,nan,1,71322_1
50090,71539,Tintry,nan,1,71539_1
50127,71394,Saint-Bonnet-de-Joux,nan,1,71394_1
50128,71323,Mornay,nan,1,71323_1
50129,71529,Suin,nan,1,71529_1
50130,71017,Ballore,nan,1,71017_1
50131,71309,Montcenis,nan,1,71309_1
50133,71038,Les Bizots,nan,1,71038_1
50215,71108,Chasselas,nan,1,71108_1
50218,71016,Azé,nan,1,71016_1
50219,71574,Verzé,nan,1,71574_1
50221,71169,Davayé,nan,1,71169_1
50222,71526,Solutré-Pouilly,nan,1,71526_1
50223,71567,Vergisson,nan,1,71567_1
50224,71371,La Roche-Vineuse,nan,1,71371_1
50225,71525,Sologny,nan,1,71525_1
50226,71236,Igé,nan,1,71236_1
50227,71299,Milly-Lamartine,nan,1,71299_1
50228,7135,Pierreclos,nan,1,7135_1
50229,71518,Serrières,nan,1,71518_1
50230,71397,Sainte-Cécile,nan,1,71397_1
50231,71412,Saint-Eusèbe,nan,1,71412_1
50235,71446,Saint-Marcelin-de-Cray,nan,1,71446_1
50236,71139,Collonge-en-Charollais,nan,1,71139_1
50237,7124,Jalogny,nan,1,7124_1
50239,71069,Bussières,nan,1,71069_1
50240,7105,Bourgvilain,nan,1,7105_1
50241,71031,Berzé-le-Châtel,nan,1,71031_1
50242,71032,Berzé-la-Ville,nan,1,71032_1
50243,7136,Prissé,nan,1,7136_1
50244,7121,Fuissé,nan,1,7121_1
50245,71258,Leynes,nan,1,71258_1
50246,71583,Vinzelles,nan,1,71583_1
50253,71091,La Chapelle-du-Mont-de-France,nan,1,71091_1
50254,71242,Joncy,nan,1,71242_1
50256,71458,Saint-Martin-la-Patrouille,nan,1,71458_1
50257,71116,Châtenay,nan,1,71116_1
50258,71218,Gibles,nan,1,71218_1
50259,71339,Ozolles,nan,1,71339_1
50260,71441,Saint-Léger-sous-la-Bussière,nan,1,71441_1
50261,71469,Saint-Pierre-le-Vieux,nan,1,71469_1
50262,71289,Matour,nan,1,71289_1
50263,71316,Montmelard,nan,1,71316_1
50264,71571,Verosvres,nan,1,71571_1
50265,71524,Sivignon,nan,1,71524_1
50266,71546,Trambly,nan,1,71546_1
50267,71547,Trivy,nan,1,71547_1
50268,71545,Tramayes,nan,1,71545_1
50269,71163,Curtil-sous-Buffières,nan,1,71163_1
50270,7129,Mazille,nan,1,7129_1
50271,71112,Château,nan,1,71112_1
50272,7103,Bergesserin,nan,1,7103_1
50273,71025,Beaubery,nan,1,71025_1
50277,71217,Germolles-sur-Grosne,nan,1,71217_1
50278,71178,Dompierre-les-Ormes,nan,1,71178_1
50279,71134,Navour-sur-Grosne,nan,1,71134_1
50292,7147,Saint-Point,nan,1,7147_1
50294,71427,Saint-Huruge,nan,1,71427_1
50295,71521,Sigy-le-Châtel,nan,1,71521_1
50298,71473,Saint-Racho,nan,1,71473_1
50301,71363,Le Puley,nan,1,71363_1
50302,71347,Perreuil,nan,1,71347_1
50303,71125,Chérizet,nan,1,71125_1
50314,71149,Couches,nan,1,71149_1
50315,71424,Saint-Gervais-sur-Couches,nan,1,71424_1
50757,71247,Jully-lès-Buxy,nan,1,71247_1
51005,71487,Saint-Vérand,nan,1,71487_1
51006,71362,Pruzilly,nan,1,71362_1
51007,71385,Saint-Amour-Bellevue,nan,1,71385_1
51008,71372,Romanèche-Thorins,nan,1,71372_1
51010,71481,Saint-Symphorien-d'Ancelles,nan,1,71481_1
51012,71074,Chaintré,nan,1,71074_1
51019,71466,Saint-Nizier-sur-Arroux,nan,1,71466_1
51021,71251,Laizy,nan,1,71251_1
51022,71337,Oyé,nan,1,71337_1
51023,71399,Saint-Christophe-en-Brionnais,nan,1,71399_1
51024,71509,La Celle-en-Morvan,nan,1,71509_1
51049,71084,Chânes,nan,1,71084_1
51292,71301,Mont,nan,1,71301_1
51365,7122,Gilly-sur-Loire,nan,1,7122_1
51420,71255,Lesme,nan,1,71255_1
51446,71589,Vitry-sur-Loire,nan,1,71589_1
51447,71155,Cronat,nan,1,71155_1
51780,71273,Maltat,nan,1,71273_1
51905,71537,Thil-sur-Arroux,nan,1,71537_1
51906,71111,Chassy,nan,1,71111_1
51907,715,Sarry,nan,1,715_1
51911,71317,Montmort,nan,1,71317_1
51940,71474,Sainte-Radegonde,nan,1,71474_1
51941,71011,Anzy-le-Duc,nan,1,71011_1
51942,71573,Versaugues,nan,1,71573_1
51943,71307,Montceaux-l'Étoile,nan,1,71307_1
51944,71136,Clessy,nan,1,71136_1
51945,71588,Vitry-en-Charollais,nan,1,71588_1
51948,712,Fleury-la-Montagne,nan,1,712_1
51949,71271,Mailly,nan,1,71271_1
23568,72003,Allonnes,72003_1,1,72003_1
23574,72003,Allonnes,72003_2,2,72003_2
23575,72003,Allonnes,72003_3,3,72003_3
23576,72003,Allonnes,72003_4,4,72003_4
23577,72003,Allonnes,72003_5,5,72003_5
23578,72003,Allonnes,72003_6,6,72003_6
23579,72003,Allonnes,72003_7,7,72003_7
23580,72003,Allonnes,72003_8,8,72003_8
23581,72006,Arçonnay,72006_1,1,72006_1
23582,72006,Arçonnay,72006_2,2,72006_2
23583,72008,Arnage,72008_1,1,72008_1
23584,72008,Arnage,72008_2,2,72008_2
23585,72008,Arnage,72008_4,4,72008_4
23586,72008,Arnage,72008_5,5,72008_5
23587,72008,Arnage,72008_6,6,72008_6
23588,72023,Ballon-Saint Mars,72023_1,1,72023_1
23592,72023,Ballon-Saint Mars,72023_2,2,72023_2
23593,72024,La Bazoge,72024_1,1,72024_1
23594,72024,La Bazoge,72024_2,2,72024_2
23595,72024,La Bazoge,72024_3,3,72024_3
23597,72025,Bazouges Cré sur Loir,72025_1,1,72025_1
23598,72035,Bessé-sur-Braye,72035_2,2,72035_2
23600,72039,Bonnétable,72039_1,1,72039_1
23601,72039,Bonnétable,72039_2,2,72039_2
23602,72047,Brette-les-Pins,72047_2,2,72047_2
23603,72051,Cérans-Foulletourte,72051_1,1,72051_1
23604,72051,Cérans-Foulletourte,72051_3,3,72051_3
23605,72054,Champagné,72054_1,1,72054_1
23606,72054,Champagné,72054_2,2,72054_2
23607,72054,Champagné,72054_3,3,72054_3
23608,72058,Changé,72058_1,1,72058_1
23611,72058,Changé,72058_2,2,72058_2
23612,72058,Changé,72058_3,3,72058_3
23616,72058,Changé,72058_4,4,72058_4
23617,72058,Changé,72058_5,5,72058_5
23618,72061,La Chapelle-d'Aligné,72061_1,1,72061_1
23619,72065,La Chapelle-Saint-Aubin,72065_1,1,72065_1
23621,72065,La Chapelle-Saint-Aubin,72065_2,2,72065_2
23622,72071,Montval-sur-Loir,72071_1,1,72071_1
23623,72071,Montval-sur-Loir,72071_2,2,72071_2
23626,72071,Montval-sur-Loir,72071_3,3,72071_3
23627,72071,Montval-sur-Loir,72071_4,4,72071_4
23632,72071,Montval-sur-Loir,72071_6,6,72071_6
23640,7208,Cherré-Au,72080_1,1,7208_1
23641,7208,Cherré-Au,72080_2,2,7208_2
23642,72089,Conlie,72089_1,1,72089_1
23643,7209,Connerré,72090_1,1,7209_1
23647,72137,Villeneuve-en-Perseigne,72137_2,2,72137_2
23651,72095,Coulaines,72095_1,1,72095_1
23652,72095,Coulaines,72095_2,2,72095_2
23653,72095,Coulaines,72095_3,3,72095_3
23654,72095,Coulaines,72095_4,4,72095_4
23655,72137,Villeneuve-en-Perseigne,72137_3,3,72137_3
23656,72137,Villeneuve-en-Perseigne,72137_4,4,72137_4
23657,72137,Villeneuve-en-Perseigne,72137_6,nan,72137_nan
23658,72095,Coulaines,72095_5,5,72095_5
23659,72124,Écommoy,72124_1,1,72124_1
23660,72124,Écommoy,72124_2,2,72124_2
23661,72127,Étival-lès-le-Mans,72127_1,1,72127_1
23662,72138,Fresnay-sur-Sarthe,72138_1,1,72138_1
23663,72138,Fresnay-sur-Sarthe,72138_2,2,72138_2
23666,72138,Fresnay-sur-Sarthe,72138_3,3,72138_3
23670,72127,Étival-lès-le-Mans,72127_2,2,72127_2
23671,72128,Val-d'Étangson,72128_1,1,72128_1
23672,72138,Fresnay-sur-Sarthe,72138_4,4,72138_4
23673,72128,Val-d'Étangson,72128_2,2,72128_2
23674,72132,La Ferté-Bernard,72132_1,1,72132_1
23675,72132,La Ferté-Bernard,72132_2,2,72132_2
23676,72143,Le Grand-Lucé,72143_1,1,72143_1
23677,72146,Guécélard,72146_1,1,72146_1
23678,72146,Guécélard,72146_2,2,72146_2
23679,72146,Guécélard,72146_3,3,72146_3
23680,72132,La Ferté-Bernard,72132_3,3,72132_3
23681,72132,La Ferté-Bernard,72132_4,4,72132_4
23682,72132,La Ferté-Bernard,72132_5,5,72132_5
23683,72154,La Flèche,72154_1,1,72154_1
23684,72154,La Flèche,72154_11,11,72154_11
23685,72132,La Ferté-Bernard,72132_7,7,72132_7
23686,72132,La Ferté-Bernard,72132_8,8,72132_8
23687,72137,Villeneuve-en-Perseigne,72137_1,1,72137_1
23688,72154,La Flèche,72154_3,3,72154_3
23689,72154,La Flèche,72154_5,5,72154_5
23692,72154,La Flèche,72154_6,6,72154_6
23693,72154,La Flèche,72154_7,7,72154_7
23694,72154,La Flèche,72154_8,8,72154_8
23695,72154,La Flèche,72154_9,9,72154_9
23696,72154,La Flèche,72154_12,12,72154_12
23697,72154,La Flèche,72154_13,13,72154_13
23698,72155,Laigné-en-Belin,72155_1,1,72155_1
23699,72165,Lombron,72165_1,1,72165_1
23700,72165,Lombron,72165_2,2,72165_2
23703,72154,La Flèche,72154_15,15,72154_15
23704,72154,La Flèche,72154_16,16,72154_16
23708,72181,Le Mans,72181_1,1,72181_1
23709,72154,La Flèche,72154_17,17,72154_17
23710,72154,La Flèche,72154_2,2,72154_2
23711,72181,Le Mans,72181_11,11,72181_11
23712,72181,Le Mans,72181_12,12,72181_12
23713,72181,Le Mans,72181_13,13,72181_13
23714,72181,Le Mans,72181_14,14,72181_14
23715,72181,Le Mans,72181_15,15,72181_15
23716,72181,Le Mans,72181_16,16,72181_16
23717,72181,Le Mans,72181_17,17,72181_17
23718,72181,Le Mans,72181_18,18,72181_18
23719,72181,Le Mans,72181_19,19,72181_19
23720,72181,Le Mans,72181_2,2,72181_2
23721,72181,Le Mans,72181_21,21,72181_21
23722,72181,Le Mans,72181_22,22,72181_22
23723,72181,Le Mans,72181_23,23,72181_23
23724,72181,Le Mans,72181_24,24,72181_24
23725,72181,Le Mans,72181_25,25,72181_25
23726,72181,Le Mans,72181_26,26,72181_26
23727,72181,Le Mans,72181_27,27,72181_27
23728,72168,Loué,72168_1,1,72168_1
23729,72168,Loué,72168_2,2,72168_2
23730,72175,Luché-Pringé,72175_2,2,72175_2
23731,72176,Le Lude,72176_1,1,72176_1
23732,72176,Le Lude,72176_2,2,72176_2
23733,72176,Le Lude,72176_3,3,72176_3
23734,72181,Le Mans,72181_51,51,72181_51
23735,72181,Le Mans,72181_52,52,72181_52
23736,72181,Le Mans,72181_28,28,72181_28
23737,72181,Le Mans,72181_29,29,72181_29
23738,72181,Le Mans,72181_3,3,72181_3
23739,72181,Le Mans,72181_3,3,72181_3
23740,72181,Le Mans,72181_31,31,72181_31
23741,72181,Le Mans,72181_32,32,72181_32
23742,72176,Le Lude,72176_4,4,72176_4
23743,72176,Le Lude,72176_5,5,72176_5
23744,7218,Mamers,72180_1,1,7218_1
23745,72181,Le Mans,72181_53,53,72181_53
23746,72181,Le Mans,72181_54,54,72181_54
23747,72181,Le Mans,72181_33,33,72181_33
23748,72181,Le Mans,72181_34,34,72181_34
23749,72181,Le Mans,72181_35,35,72181_35
23750,72181,Le Mans,72181_36,36,72181_36
23751,72181,Le Mans,72181_37,37,72181_37
23752,72181,Le Mans,72181_55,55,72181_55
23753,7218,Mamers,72180_2,2,7218_2
23754,7218,Mamers,72180_3,3,7218_3
23755,72181,Le Mans,72181_1,1,72181_1
23756,72181,Le Mans,72181_72,72,72181_72
23757,72181,Le Mans,72181_57,57,72181_57
23758,72181,Le Mans,72181_58,58,72181_58
23759,72181,Le Mans,72181_39,39,72181_39
23760,72181,Le Mans,72181_4,4,72181_4
23761,72181,Le Mans,72181_41,41,72181_41
23762,72181,Le Mans,72181_42,42,72181_42
23763,72181,Le Mans,72181_43,43,72181_43
23764,72181,Le Mans,72181_44,44,72181_44
23765,72181,Le Mans,72181_59,59,72181_59
23766,72181,Le Mans,72181_73,73,72181_73
23767,72181,Le Mans,72181_74,74,72181_74
23768,72181,Le Mans,72181_75,75,72181_75
23769,72181,Le Mans,72181_76,76,72181_76
23770,72181,Le Mans,72181_77,77,72181_77
23771,72181,Le Mans,72181_6,6,72181_6
23772,72181,Le Mans,72181_61,61,72181_61
23773,72181,Le Mans,72181_62,62,72181_62
23774,72181,Le Mans,72181_78,78,72181_78
23775,72181,Le Mans,72181_79,79,72181_79
23776,72181,Le Mans,72181_8,8,72181_8
23777,72181,Le Mans,72181_8,8,72181_8
23778,72181,Le Mans,72181_81,81,72181_81
23779,72181,Le Mans,72181_47,47,72181_47
23780,72181,Le Mans,72181_48,48,72181_48
23781,72181,Le Mans,72181_49,49,72181_49
23782,72181,Le Mans,72181_5,5,72181_5
23783,72181,Le Mans,72181_5,5,72181_5
23784,72181,Le Mans,72181_63,63,72181_63
23785,72181,Le Mans,72181_65,65,72181_65
23786,72181,Le Mans,72181_66,66,72181_66
23787,72181,Le Mans,72181_67,67,72181_67
23788,72181,Le Mans,72181_68,68,72181_68
23789,72181,Le Mans,72181_69,69,72181_69
23790,72181,Le Mans,72181_7,7,72181_7
23791,72181,Le Mans,72181_89,89,72181_89
23792,72181,Le Mans,72181_9,9,72181_9
23793,72181,Le Mans,72181_9,9,72181_9
23794,72181,Le Mans,72181_91,91,72181_91
23795,72181,Le Mans,72181_92,92,72181_92
23796,72181,Le Mans,72181_71,71,72181_71
23797,72181,Le Mans,72181_93,93,72181_93
23798,72181,Le Mans,72181_94,94,72181_94
23799,72181,Le Mans,72181_95,95,72181_95
23800,72181,Le Mans,72181_97,97,72181_97
23801,72181,Le Mans,72181_82,82,72181_82
23802,72181,Le Mans,72181_83,83,72181_83
23803,72181,Le Mans,72181_84,84,72181_84
23804,72181,Le Mans,72181_85,85,72181_85
23805,72181,Le Mans,72181_86,86,72181_86
23806,72213,Mulsanne,72213_2,2,72213_2
23807,72187,Marigné-Laillé,72187_2,2,72187_2
23808,72189,Marolles-les-Braults,72189_1,1,72189_1
23809,72189,Marolles-les-Braults,72189_2,2,72189_2
23810,72191,Mayet,72191_1,1,72191_1
23811,72213,Mulsanne,72213_3,3,72213_3
23812,72181,Le Mans,72181_87,87,72181_87
23813,72181,Le Mans,72181_88,88,72181_88
23814,7226,Ruaudin,72260_3,3,7226_3
23815,72262,Loir en Vallée,72262_1,1,72262_1
23816,72213,Mulsanne,72213_4,4,72213_4
23817,72217,Neuville-sur-Sarthe,72217_1,1,72217_1
23818,72191,Mayet,72191_2,2,72191_2
23819,72198,La Milesse,72198_1,1,72198_1
23820,72217,Neuville-sur-Sarthe,72217_2,2,72217_2
23821,72262,Loir en Vallée,72262_2,2,72262_2
23822,72262,Loir en Vallée,72262_3,3,72262_3
23823,72262,Loir en Vallée,72262_4,4,72262_4
23824,72223,Noyen-sur-Sarthe,72223_1,1,72223_1
23825,72264,Sablé-sur-Sarthe,72264_1,1,72264_1
23826,72264,Sablé-sur-Sarthe,72264_1,1,72264_1
23827,72264,Sablé-sur-Sarthe,72264_11,11,72264_11
23828,72264,Sablé-sur-Sarthe,72264_2,2,72264_2
23829,72223,Noyen-sur-Sarthe,72223_2,2,72223_2
23830,72264,Sablé-sur-Sarthe,72264_3,3,72264_3
23831,72264,Sablé-sur-Sarthe,72264_4,4,72264_4
23832,72264,Sablé-sur-Sarthe,72264_5,5,72264_5
23833,72264,Sablé-sur-Sarthe,72264_6,6,72264_6
23834,72264,Sablé-sur-Sarthe,72264_8,8,72264_8
23835,72228,Parcé-sur-Sarthe,72228_1,1,72228_1
23836,72198,La Milesse,72198_2,2,72198_2
23837,722,Moncé-en-Belin,72200_1,1,722_1
23838,722,Moncé-en-Belin,72200_2,2,722_2
23839,72264,Sablé-sur-Sarthe,72264_9,9,72264_9
23840,72269,Saint-Calais,72269_1,1,72269_1
23841,72276,Saint-Cosme-en-Vairais,72276_1,1,72276_1
23842,72276,Saint-Cosme-en-Vairais,72276_2,2,72276_2
23843,72276,Saint-Cosme-en-Vairais,72276_3,3,72276_3
23844,72228,Parcé-sur-Sarthe,72228_2,2,72228_2
23845,72231,Parigné-l'Évêque,72231_1,1,72231_1
23846,722,Moncé-en-Belin,72200_3,3,722_3
23847,72213,Mulsanne,72213_1,1,72213_1
23848,72231,Parigné-l'Évêque,72231_3,3,72231_3
23849,7235,Teloché,72350_1,1,7235_1
23850,7235,Teloché,72350_2,2,7235_2
23851,7235,Teloché,72350_3,3,7235_3
23852,72363,Tuffé Val de la Chéronne,72363_1,1,72363_1
23853,72363,Tuffé Val de la Chéronne,72363_2,2,72363_2
23854,7228,Saint-Georges-du-Bois,72280_1,1,7228_1
23855,7228,Saint-Georges-du-Bois,72280_2,2,7228_2
23856,72287,Saint-Gervais-en-Belin,72287_1,1,72287_1
23857,723,Saint-Mars-la-Brière,72300_1,1,723_1
23858,72231,Parigné-l'Évêque,72231_4,4,72231_4
23859,723,Saint-Mars-la-Brière,72300_2,2,723_2
23860,72308,Saint-Paterne - Le Chevain,72308_1,1,72308_1
23861,72308,Saint-Paterne - Le Chevain,72308_2,2,72308_2
23862,7231,Saint-Pavace,72310_1,1,7231_1
23863,72364,Vaas,72364_1,1,72364_1
23864,72364,Vaas,72364_2,2,72364_2
23865,72373,Vibraye,72373_1,1,72373_1
23866,72373,Vibraye,72373_2,2,72373_2
23867,72386,Yvré-l'Évêque,72386_1,1,72386_1
23868,72386,Yvré-l'Évêque,72386_2,2,72386_2
23869,72386,Yvré-l'Évêque,72386_4,4,72386_4
23870,7231,Saint-Pavace,72310_2,2,7231_2
23871,72328,Sargé-lès-le-Mans,72328_1,1,72328_1
23872,72328,Sargé-lès-le-Mans,72328_2,2,72328_2
23873,72328,Sargé-lès-le-Mans,72328_4,4,72328_4
23874,72241,Montfort-le-Gesnois,72241_1,1,72241_1
